,smiles,value,preds
2089,O=C(CN1C(=O)CCC1=O)Nc1ccc(F)c(F)c1F,False,-1.54368653487132
2099,COc1ccc(-c2nnc(NC(=O)c3ccc4ccccc4c3)o2)cc1OC,True,-1.54368653487132
61,O=C(Nc1ccc2ccccc2n1)c1ccc(N2CCOC2=O)cc1,True,-1.54368653487132
89,Cc1c[nH]c(=O)n1-c1ccc(C(=O)Nc2ccc3ccccc3n2)cc1,True,-1.54368653487132
97,O=C(C1CCC(O)CC1)N1CCCN(c2ccc(F)cc2)CC1,False,-1.54368653487132
2166,CNC(=O)c1ccc(-c2nnc(-c3cccc(C)c3)o2)cc1,True,-1.54368653487132
123,Cc1ccc(C(=O)N2CCN(C(=O)NCC(=O)N3CCCC3)CC2)cc1F,False,-1.54368653487132
124,COC(=O)c1c(C)[nH]c(C(=O)N(C)Cc2ccc(OC)c(F)c2)c1C,False,-1.54368653487132
129,Cc1cc(C)nc(Nc2ccc(C3CCCN(CC(=O)N4CCCC4)C3)nc2)n1,False,-1.54368653487132
141,COc1ccc(C)cc1NC(=O)CN1CCc2ccccc2C1,False,-1.54368653487132
147,Cc1nnc(NCC(=O)N2CCc3sccc3C2)c(C#N)c1C,False,-1.54368653487132
172,O=C(c1cccnc1)N1CCCC(c2cccc(-c3cccc(Cl)c3)n2)C1,False,-1.54368653487132
180,O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1ccccc1F,False,-1.54368653487132
181,Cc1cccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c1,False,-1.54368653487132
182,O=C(CN1CCCN(c2nccs2)CC1)Nc1cccc(Cl)c1,False,-1.54368653487132
183,COc1ccccc1NC(=O)CN1CCCN(c2nc(C)cs2)CC1,False,-1.54368653487132
186,COc1ccc(-c2cccc(C3CCCN(CC(=O)Nc4ccccn4)C3)n2)cc1,True,-1.54368653487132
188,Cc1noc(C)c1C(=O)N1CCCN(c2ccc(F)cc2)CC1,False,-1.54368653487132
200,COc1ccc(Cc2cccc(C3CCN(C(=O)C4CCCC4)CC3)n2)cc1,False,-1.54368653487132
213,O=C(CC1CCNCC1)NCCc1ccccc1F,False,-1.54368653487132
221,Cc1ccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c(F)c1,False,-1.54368653487132
225,COc1ccccc1CNC(=O)C(C)N1CCCN(c2ccccc2C#N)CC1,False,-1.54368653487132
229,Cc1ccc2nc3c(c(C(=O)NCc4nnc5n4CCC5)c2c1)CCCC3,False,-1.54368653487132
236,O=C(CN1CCCC(c2ccc3cn[nH]c3n2)C1)N1CCCC1,False,-1.54368653487132
260,O=C(c1ccc2[nH]ccc2c1)N1CCCC(c2cccc(-c3ccc(F)cc3)n2)C1,True,-1.54368653487132
281,CN(C)c1cccc(C(=O)N2CCCC(c3cccc(-c4cccs4)n3)C2)c1,True,-1.54368653487132
294,Cc1cc(C)c(C#N)c(N2CCN(CC(=O)Nc3ccccc3Cl)CC2)n1,True,-1.54368653487132
316,COc1ccc2c(c1)C=C(CN1CCC(c3cc(-c4ccc(N)nc4)cc(C)n3)CC1)CO2,False,-1.54368653487132
322,CCCn1ncc2ccc(C3CCCN(CC(=O)N4CCCC4)C3)nc21,False,-1.54368653487132
348,O=C(Cc1ccc(Cl)cc1)NCc1ccncc1,False,-1.54368653487132
354,CC(C(=O)Nc1ccccc1)N1CCCN(c2nccs2)CC1,False,-1.54368653487132
357,Cc1cc(NC(=O)CCc2cnn(C)c2)c2ccccc2n1,False,-1.54368653487132
384,O=C(CCc1ccccc1)N1CCC(c2cccc(Cc3ccc(F)cc3)n2)CC1,True,-1.54368653487132
465,CSc1cccc(-c2ccccc2-c2nnc(C)o2)c1,False,-1.54368653487132
466,O=C(c1cc(-c2cccc(Cl)c2)on1)N1CCC(n2cccc2)CC1,False,-1.54368653487132
496,Cc1nn(C)c(C)c1NC(=O)CN1CCN(c2nccs2)CC1,False,-1.54368653487132
498,Cn1ccc(C(=O)N2CCCC(c3cccc(-c4cccc(Cl)c4)n3)C2)n1,False,-1.54368653487132
502,CN1C(=O)N(CC(=O)Nc2ccccc2-c2ccccc2)C(=O)C1(C)C,False,-1.54368653487132
512,COc1ccc2c(c1)C=C(CN1CCC(c3cc(-c4cncnc4)cc(C)n3)CC1)CO2,False,-1.54368653487132
532,COc1ccccc1CNc1n[nH]c2nc([C@H]3CCCN(CC(=O)N4CCCC4)C3)ccc12,False,-1.54368653487132
533,Cc1ccc2nc3c(c(C(=O)NCc4cnn(C)c4)c2c1)CCCC3,False,-1.54368653487132
541,CC(C)(C)c1ccc(CN2CCC(C(N)=O)CC2)cc1,False,-1.54368653487132
576,O=C(NC1CCCC1)C(=O)c1ccc2c(c1)CCC2,False,-1.54368653487132
579,CN1C(=O)N(CC(=O)NCc2ccc(Cl)cc2)C(=O)C12CCCCC2,False,-1.54368653487132
595,CC(=O)N1CCC(c2ccccn2)CC1,False,-1.54368653487132
598,Cc1ccc(C(=O)C(=O)NC2CCCC2)cc1,False,-1.54368653487132
599,O=C(CN1CCCC(c2cccc(-c3cccc(Cl)c3)n2)C1)N1CCCC1,False,-1.54368653487132
601,O=C(CN1CCCC(c2cncc(-c3cccc(Cl)c3)n2)C1)N1CCCC1,False,-1.54368653487132
609,Cc1ccc(C(=O)C(=O)Nc2c(C)nn(C)c2C)cc1,False,-1.54368653487132
644,Cn1ccc(CN2CCC(c3cnccn3)CC2)n1,False,-1.54368653487132
646,O=C(CN1CCSC1=O)Nc1ccccc1F,False,-1.54368653487132
699,COCCNC(=O)CN1CCN(c2nccn2-c2cccc(Cl)c2)CC1,False,-1.54368653487132
714,CC(C)(O)C(=O)N1CCC(c2ccc3c(NCc4ccccc4F)n[nH]c3n2)CC1,False,-1.54368653487132
725,Cc1nc([C@H]2CC[C@H](CNC(=O)CN3CCC(c4ccccc4)CC3)CC2)ccc1C(N)=O,False,-1.54368653487132
